RSN,scaleFactorSpecAvg,EQName,lowestFreq,filename
930,22.146186934037768," ""Big Bear-01""",0.16,RSN930_BIGBEAR_SB2270.AT2
818,70.32984698326136," ""Georgia_ USSR""",0.1,RSN818_GEORGIA_IRI--X.AT2
819,111.48797681625837," ""Georgia_ USSR""",0.1375,RSN819_GEORGIA_ONI--X.AT2
817,147.40062493727993," ""Georgia_ USSR""",0.125,RSN817_GEORGIA_BAZ--X.AT2
522,38.7396556254927," ""N. Palm Springs""",0.125,RSN522_PALMSPR_INO225.AT2
523,39.32617204642573," ""N. Palm Springs""",0.125,RSN523_PALMSPR_IND000.AT2
471,33.44417998756513," ""Morgan Hill""",0.125,RSN471_MORGAN_SJL270.AT2
347,22.108081268976996," ""Coalinga-01""",0.15,RSN347_COALINGA.H_H-Z09000.AT2
352,22.15171471280469," ""Coalinga-01""",0.15,RSN352_COALINGA.H_H-PG3000.AT2
357,29.0046545664149," ""Coalinga-01""",0.15,RSN357_COALINGA.H_H-SC3000.AT2
1106,3.0074640898728267," ""Kobe_ Japan""",0.0625,RSN1106_KOBE_KJM000.AT2
1107,11.481627930707509," ""Kobe_ Japan""",0.125,RSN1107_KOBE_KAK000.AT2
821,2.963800216084754," ""Erzican_ Turkey""",0.125,RSN821_ERZINCAN_ERZ-NS.AT2
725,7.8527661921723615," ""Superstition Hills-02""",0.1625,RSN725_SUPER.B_B-POE270.AT2
138,16.6933897965757," ""Tabas_ Iran""",0.15625,RSN138_TABAS_BOS-L1.AT2
579,7.728928760819272," ""Taiwan SMART1(45)""",0.1,RSN579_SMART1.45_45O04EW.AT2
575,7.905121466138353," ""Taiwan SMART1(45)""",0.0625,RSN575_SMART1.45_45M01EW.AT2
577,8.909706386413788," ""Taiwan SMART1(45)""",0.1,RSN577_SMART1.45_45O01EW.AT2
36,10.875439842575242," ""Borrego Mtn""",0.1,RSN36_BORREGO_A-ELC180.AT2
20,6.551042706900745," ""Northern Calif-03""",0.125,RSN20_NCALIF.FH_H-FRN044.AT2
