filename,scaleFactor,gmS1
RSN164_IMPVALL.H_H-CPE147.AT2,7.9967,0.76809783
RSN294_ITALY_A-TRC000.AT2,16.9933,1.23764258
RSN779_LOMAP_LGP000.AT2,0.8141,0.85226614
RSN825_CAPEMEND_CPM000.AT2,1.5823,1.1790597
RSN1005_NORTHR_TEM090.AT2,6.8785,0.74480224
RSN1148_KOCAELI_ARE000.AT2,9.3299,1.0881502
RSN1545_CHICHI_TCU120-E.AT2,1.8934,0.90126176
RSN1620_DUZCE_SKR090.AT2,41.0614,0.67359374
RSN1833_HECTOR_SNC090.AT2,35.8074,0.74579223
RSN3760_LANDERS_BLC360.AT2,11.4695,0.90893078
RSN3964_TOTTORI_TTR007NS.AT2,4.1108,0.91113826
RSN4031_SANSIMEO_36695090.AT2,3.1408,1.10829798
RSN4037_BAM_ABAR-L.AT2,28.0095,0.8872273
RSN4211_NIIGATA_NIG021NS.AT2,5.6505,1.03402299
RSN4882_CHUETSU_65321NS.AT2,5.5997,0.92494054
RSN5818_IWATE_48A61NS.AT2,2.1934,0.66583397
RSN5842_SIERRA.MEX_02659360.AT2,15.5317,0.91657346
RSN6980_DARFIELD_WAKCN80E.AT2,5.4704,1.19892644
