Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W44X335,W44X335,F,335,98.5,44,–,–,–,15.9,–,–,–,1.03,1.77,–,–,–,2.56,–,–,–,–,–,4.5,–,–,38,–,–,31100,1620,1410,17.8,1200,236,150,3.49,–,–,–,74.7
W,W44X290,W44X290,F,290,85.4,43.6,–,–,–,15.8,–,–,–,0.865,1.58,–,–,–,2.36,–,–,–,–,–,5.02,–,–,45,–,–,27000,1410,1240,17.8,1040,205,132,3.49,–,–,–,50.9
W,W44X262,W44X262,F,262,77.2,43.3,–,–,–,15.8,–,–,–,0.785,1.42,–,–,–,2.2,–,–,–,–,–,5.57,–,–,49.6,–,–,24100,1270,1110,17.7,923,182,117,3.47,–,–,–,37.3
W,W44X230,W44X230,F,230,67.8,42.9,–,–,–,15.8,–,–,–,0.71,1.22,–,–,–,2.01,–,–,–,–,–,6.45,–,–,54.8,–,–,20800,1100,971,17.5,796,157,101,3.43,–,–,–,24.9
W,W40X655,W40X655,T,655,193,43.6,–,–,–,16.9,–,–,–,1.97,3.54,–,–,–,4.72,–,–,–,–,–,2.39,–,–,17.3,–,–,56500,3080,2590,17.1,2870,542,340,3.86,–,–,–,589
W,W40X593,W40X593,T,593,174,43,–,–,–,16.7,–,–,–,1.79,3.23,–,–,–,4.41,–,–,–,–,–,2.58,–,–,19.1,–,–,50400,2760,2340,17,2520,481,302,3.8,–,–,–,445
W,W40X503,W40X503,T,503,148,42.1,–,–,–,16.4,–,–,–,1.54,2.76,–,–,–,3.94,–,–,–,–,–,2.98,–,–,22.3,–,–,41600,2320,1980,16.8,2040,394,249,3.72,–,–,–,277
W,W40X431,W40X431,T,431,127,41.3,–,–,–,16.2,–,–,–,1.34,2.36,–,–,–,3.54,–,–,–,–,–,3.44,–,–,25.5,–,–,34800,1960,1690,16.6,1690,328,208,3.65,–,–,–,177
W,W40X397,W40X397,T,397,117,41,–,–,–,16.1,–,–,–,1.22,2.2,–,–,–,3.38,–,–,–,–,–,3.66,–,–,28,–,–,32000,1800,1560,16.6,1540,300,191,3.64,–,–,–,142
W,W40X372,W40X372,T,372,110,40.6,–,–,–,16.1,–,–,–,1.16,2.05,–,–,–,3.23,–,–,–,–,–,3.93,–,–,29.5,–,–,29600,1680,1460,16.5,1420,277,177,3.6,–,–,–,116
W,W40X362,W40X362,T,362,106,40.6,–,–,–,16,–,–,–,1.12,2.01,–,–,–,3.19,–,–,–,–,–,3.99,–,–,30.5,–,–,28900,1640,1420,16.5,1380,270,173,3.6,–,–,–,109
W,W40X324,W40X324,F,324,95.3,40.2,–,–,–,15.9,–,–,–,1,1.81,–,–,–,2.99,–,–,–,–,–,4.4,–,–,34.2,–,–,25600,1460,1280,16.4,1220,239,153,3.58,–,–,–,79.4
W,W40X297,W40X297,F,297,87.3,39.8,–,–,–,15.8,–,–,–,0.93,1.65,–,–,–,2.83,–,–,–,–,–,4.8,–,–,36.8,–,–,23200,1330,1170,16.3,1090,215,138,3.54,–,–,–,61.2
