,S1,Ss,Tm,zetaM,gapRatio,RI,mu1,R1,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,IDALevel,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed,collapsed,serviceFailure,Bm,DesignDm,earthquakeDm,moatAmpli,Tshort
0,1.017,2.2815,3.5,0.15,0.47784776224608977,1.0,0.0311693113307878,40.0,RSN164_IMPVALL.H_H-CPE147,15.616018132428538,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166212,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.499953209180015,0.7387648452354212,0.4887935790981457,0.6080836859120529,2.0,29.7276,0.2000258974358974,0.1434057692307692,0.0747083333333333,0.1988410973084886,0.0870152691511387,0.6584601449275362,0.1768843167701863,56.8635,37.8681,19.5551,14.2649,1,1,1,1,1,1,1,1,1,0.9773858974358972,0.9688910256410256,0.9644807692307692,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,54.00612947263393,0.47784776224608977,0.4457593688362919
1,1.017,2.2815,3.5,0.15,0.4003780875840505,1.0,0.0311693113307878,40.0,RSN187_IMPVALL.H_H-PTS225,12.922002933165713,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166652,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.421496562465534,1.1154116583433298,0.8260508109997824,0.7257425857763246,2.0,30.4646,0.2000480769230769,0.0026147435897435,0.0160692307692307,1.019337474120083,1.1647489648033127,0.1410923913043478,0.621322463768116,95.6817,24.1276,35.8307,86.0766,1,1,1,1,1,1,1,1,1,0.9310391025641024,0.1286410256410255,0.0892948717948718,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,64.4558454030109,0.4003780875840506,0.4457593688362919
3,1.017,2.2815,3.5,0.15,0.3433939969924908,1.0,0.0311693113307878,40.0,RSN812_LOMAP_WDS000,11.970859368693178,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516605,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,2.5108219128568665,0.9075718817179684,0.6069783969869613,0.8461750383416945,2.0,28.3145,0.1209980769230769,0.0433878205128205,0.0443826923076923,6.447955486542443,2.593245341614907,1.822217908902692,1.2129710144927537,85.6955,82.3766,83.023,91.2001,1,0,0,1,1,1,1,1,1,0.1158373397435897,0.0244673076923076,0.0172205128205128,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,75.15189066230255,0.3433939969924908,0.4457593688362919
4,1.017,2.2815,3.5,0.15,0.5048955726405148,1.0,0.0311693113307878,40.0,RSN787_LOMAP_SLC270,6.045790370294888,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516639,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,3.3568398574620155,0.9500456486971904,0.3520061857225073,0.5755079749497333,2.0,31.879,0.2000629807692307,0.0459499999999999,0.0302641025641025,2.1798990683229813,0.8686516563146999,0.1935828157349896,0.6890683229813664,107.785,33.1092,22.0954,2.0165,1,1,1,1,1,1,1,1,1,0.9735328846153846,0.4167288461538461,0.4032538461538462,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,51.112961797439006,0.5048955726405148,0.4457593688362919
5,1.017,2.2815,3.5,0.15,0.46893465263074496,1.0,0.0311693113307878,40.0,RSN779_LOMAP_LGP000,1.6507414426302085,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166767,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.7282024848256312,0.9393890564158452,0.4438901761783512,0.6196416215805539,2.0,29.2936,0.1999560256410256,0.0412782051282051,0.0319653846153846,0.3989182194616977,0.4353856107660456,0.0586501035196687,0.0872818322981366,76.0216,37.1323,30.0303,12.4862,1,1,1,1,1,1,1,1,1,0.974299358974359,0.1730961538461537,0.1507435897435896,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,55.03263188440841,0.468934652630745,0.4457593688362919
6,1.017,2.2815,3.5,0.15,0.4698314626910663,1.0,0.0311693113307878,40.0,RSN827_CAPEMEND_FOR000,9.232433737983047,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166428,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.660541839140136,1.3571607374092292,0.5030522437441916,0.6184588552395254,2.0,30.4246,0.2000615384615384,0.0297198717948717,0.0128307692307692,2.5904503105590067,0.8363198757763975,0.2631909937888199,0.4777458592132505,81.9817,77.7784,84.5447,109.34,1,1,1,1,1,1,1,1,1,0.9874628205128204,0.1454294871794871,0.0715256410256409,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,54.92758609280218,0.4698314626910663,0.4457593688362919
7,1.017,2.2815,3.5,0.15,0.44563323604651794,1.0,0.0311693113307878,40.0,RSN3747_CAPEMEND_CRW270,8.608348027706215,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166616,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.5662381343877825,1.087977297382947,0.6586326255403178,0.6520416456125748,2.0,32.0653,0.1999589743589743,0.0239641025641026,0.0071884615384615,1.1749844720496896,0.4419487577639752,0.3724818840579711,0.3041692546583851,76.7803,98.0386,100.947,128.6,1,1,1,1,1,1,1,1,1,0.9972653846153848,0.3186923076923078,0.1303653846153845,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,57.91019616269567,0.445633236046518,0.4457593688362919
8,1.017,2.2815,3.5,0.15,0.45448489350001603,1.0,0.0311693113307878,40.0,RSN825_CAPEMEND_CPM000,3.1716209327226146,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166563,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,2.363390110032952,0.6230393296679598,0.5340943827943817,0.6393423251842767,2.0,28.5112,0.0849429487179487,0.0554846153846153,0.0452544871794871,6.302691511387164,2.0836516563147,1.1391589026915114,1.022717391304348,167.144,168.86700000000002,170.77599999999998,172.037,1,1,0,1,1,1,1,1,1,0.0033751474358974,0.0165588461538461,0.0089748076923076,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,56.782323208438626,0.4544848935000161,0.4457593688362919
10,1.017,2.2815,3.5,0.15,0.5576994835940805,1.0,0.0311693113307878,40.0,RSN1005_NORTHR_TEM090,14.014915190738416,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166203,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.5175280093955603,0.7671397636149723,0.5595187530302842,0.5210179265342837,2.0,23.6358,0.0024935897435897,0.0037371794871794,0.0034961538461538,0.3193090062111801,0.0888423913043478,0.1013276397515528,0.1425587474120082,80.3103,79.3419,79.4982,80.5145,0,0,0,0,0,0,0,0,0,5.314102564102363e-05,3.29487179487203e-05,0.0001636538461538,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,46.27350190421556,0.5576994835940806,0.4457593688362919
11,1.017,2.2815,3.5,0.15,0.5059938236458056,1.0,0.0311693113307878,40.0,RSN1083_NORTHR_GLE170,13.904084351977884,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166337,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,2.862374057978973,0.7618810501170278,0.4077686687685677,0.574258844658997,2.0,28.2103,0.0925591025641025,0.0689185897435897,0.0585692307692307,5.994254658385093,2.422872670807453,1.4973266045548654,1.267707039337474,79.8554,81.9032,82.8232,83.3532,1,1,1,1,1,1,1,1,1,0.0372643717948717,0.0279462179487179,0.0166901282051282,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,51.00202198146859,0.5059938236458057,0.4457593688362919
12,1.017,2.2815,3.5,0.15,0.37472435752711397,1.0,0.0311693113307878,40.0,RSN1148_KOCAELI_ARE000,19.239023680225213,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166594,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,2.2438550274341384,0.6671794184059562,0.5378404569705,0.7754271179193459,2.0,31.8721,0.2000108974358974,0.1243467948717948,0.1082057692307692,0.9822593167701864,0.1953092650103519,0.1666143892339544,0.0386304347826087,12.1186,36.8556,60.5852,60.0909,1,1,1,1,1,1,1,1,1,0.4491198717948718,0.3714698717948718,0.3478435897435898,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,68.86850987316302,0.37472435752711397,0.4457593688362919
13,1.017,2.2815,3.5,0.15,0.42457963134010945,1.0,0.0311693113307878,40.0,RSN1541_CHICHI_TCU116-E,4.724306621828869,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516662,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,2.814209928360022,0.8041044253303563,0.6324659234757569,0.6843743955740224,2.0,28.4327,0.2000365384615385,0.1090564102564102,0.0581384615384615,0.7591200828157351,0.0467512939958592,0.3640786749482402,0.06903933747412,41.3095,8.181339999999999,40.9693,66.0615,1,1,1,1,1,1,1,1,1,0.5198371794871794,0.4326487179487179,0.3808012820512819,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,60.78178558546597,0.42457963134010945,0.4457593688362919
14,1.017,2.2815,3.5,0.15,0.45996984591592177,1.0,0.0311693113307878,40.0,RSN1545_CHICHI_TCU120-E,4.110769741565551,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516641,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,1.2016437052086753,1.956768326836566,1.3684133650542292,0.5342192344900195,0.6317184292653445,2.0,31.3639,0.1999711538461538,0.0140493589743589,0.0149089743589743,1.7454296066252588,0.4603260869565218,0.4989544513457557,0.835018115942029,111.696,90.3503,103.056,138.38299999999998,1,1,1,1,1,1,1,1,1,0.9901384615384614,0.2034743589743589,0.1329358974358973,1,1,1,1,-3,1.0,1.0,1.3499999999999999,25.806708116070713,56.10521721197338,0.45996984591592177,0.4457593688362919
