,repair_cost,repair_time,repair_time
,,parallel,sequential
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,156613.8547533634,87.39258965086967,95.79985775542328
std,964076.9330750939,567.8513716313323,566.9515473466369
min,6180.5057263441995,1.4000644734045993,2.264989500610072
10%,14500.360035697191,4.444081968879712,8.57395862153197
50%,26651.124449990013,10.24602352265299,17.97677931594448
90%,90276.73305029541,55.81703871045868,69.5580624864046
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,2851131.6620860314,1429.4182171206537,1742.588593334403
std,3118716.081707679,1981.635231820954,1797.3859373141693
min,653303.2887632507,121.86691680492406,397.972129389013
10%,879756.758923998,198.1227463393253,566.5683047082334
50%,1039882.7700290389,262.3225269508757,708.2330564059771
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,322664.53011158295,188.81376246275775,193.9758063097886
std,1516166.8877014802,892.2121615272259,891.2520595163394
min,3643.1486655504837,0.44936311760557507,1.1297464349754585
10%,10601.468457865087,3.1329539134572917,6.046695116581973
50%,18804.514997900755,7.311621437579071,12.223700430122342
90%,79146.58920680298,59.48161002337896,68.93169365638006
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1313707.541908699,632.4986589569035,790.4876063003016
std,2399265.543228518,1460.7562317140012,1405.7637999940298
min,231239.61997318664,42.71252664354928,130.20052159186787
10%,374484.7389426874,77.37089893768483,224.58649300108254
50%,473293.3075719232,115.143712241478,295.5631608128201
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,7981004.706445181,4687.5685958493095,4696.81275968383
std,894481.4700792328,579.8460635979371,510.610269103811
min,997132.4276188988,202.2602919442805,604.3074269129934
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,641043.1023114283,239.10206524274201,393.26035201704065
std,1279809.6078763276,776.07621569098,751.034359595272
min,201388.99850971706,36.71349603840499,120.24839963500452
10%,333892.18081267364,68.87792048278195,199.8654869709282
50%,420118.30943414825,101.34185989612516,260.4371021618607
90%,529588.1898638308,157.51961611474567,351.1065721239824
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8098605.0272062775,4763.803770804899,4763.896031885389
std,98634.64719522941,63.786123568768325,57.265608066077306
min,1114835.3214357959,238.29370230261924,671.3575703202516
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1633578.2465726128,709.5921964569997,1004.3452489557643
std,2258992.5296264645,1416.2481134678358,1314.7673086974644
min,514706.74809850985,99.41518128016172,301.54112132265533
10%,732263.171357283,167.8160183996319,456.90177733545363
50%,856621.2382762284,214.74842111034863,552.0036745110622
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,222923.78451759138,100.41181694414236,147.7652276784309
std,614311.5454354079,363.8418388476116,360.617025102765
min,35945.604992749344,11.429603514138341,27.224984416853076
10%,108714.3841541196,34.728838739855426,75.8381788770931
50%,172368.40220276668,67.20132529379221,115.95585776230396
90%,248713.91645067406,118.66914466149413,170.44847196516227
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,108380.27911278061,54.99442494994816,81.56591294078345
std,385947.5427488866,228.40722257699954,227.97608163382398
min,21132.657749717175,5.716485523329386,13.602401308864549
10%,44702.34041247302,15.309457185095612,32.53655390317433
50%,83049.51738724724,30.818661226078024,59.26895637930569
90%,148443.78855749167,93.83761294202304,127.56415312374878
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1452441.4159979296,583.6929329740138,929.5817350885231
std,1909923.9997614925,1201.324189789135,1105.3386152697728
min,522127.8971674036,112.59786422837134,349.196595819974
10%,773882.4688048721,176.43741601225932,496.62762466507263
50%,907404.142816148,230.25619613755265,608.9152006964413
90%,1152025.0720237095,412.343802065788,868.847878825574
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,96458.88279390673,46.34656528925821,65.7358228312681
std,403047.15432432236,238.22290696994125,237.92714871366854
min,9856.23267855252,3.0854767845667346,6.656049038690963
10%,29608.634546710375,9.80603523798521,20.188963124819082
50%,70109.85669708587,19.281828952358737,40.920118387763715
90%,138545.4779175349,83.67695665553502,109.56701383869552
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,505863.0537807106,180.0958735204157,310.5389362116407
std,1021737.1708164857,616.3938996584752,600.0737841569799
min,156257.72071475544,28.2149561912422,94.55042242606652
10%,286743.939673883,61.66116528894633,172.26573621057142
50%,366356.659533831,92.46415288370284,226.14552748161282
90%,463024.0310707488,143.24474984722266,300.0909086676631
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,702764.3920797782,267.88145325300684,428.05931012253825
std,1375050.1654374353,835.6519910872391,807.2708864035134
min,207348.62291320937,40.111554726696276,126.61028498065235
10%,357824.41186077154,73.19907348939984,210.87650581515913
50%,445338.8458754872,107.56953079149892,273.64122833208313
90%,562494.8012260506,169.77372701921868,370.94124039479334
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1842642.4335357337,1080.592020695748,1081.5676552766988
std,3384316.307678179,1992.5632642242279,1992.0367520179454
min,2189.882777651027,0.14434656357959222,0.3208786129562176
10%,5936.642223007242,0.714434652460163,1.2724876279660866
50%,10968.02015953894,2.414017720044046,3.8293981778514645
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,92197.36104284956,48.29458907338133,57.67747877934636
std,682292.3198483607,401.9287952583882,401.2269894656081
min,7329.060223718366,2.139293531026978,4.024137979070662
10%,18307.066233782563,5.880685532553548,11.403787050906743
50%,29107.49115777186,10.82098067794244,19.854923549581805
90%,54817.00653989974,20.657427350048895,35.27937864456797
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1642328.4672163094,741.5939431373075,1024.5419679551526
std,2349525.0573973437,1463.6277792480723,1362.7266692769363
min,453664.94573000097,86.87489956634111,263.34940405498907
10%,668097.0476124648,151.58949604412183,425.5516518853759
50%,798735.7621502109,206.720129285038,532.6138282630711
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,41683.75595614375,17.517424698548467,25.910062302481965
std,302176.031588978,177.8639607995539,177.66837165570897
min,6434.487730083609,1.5308586762475185,3.8405421599426015
10%,16595.359194415687,5.190135272865425,10.025601813506631
50%,26870.963231022663,10.021009704662198,17.992736900864355
90%,44607.032050597845,17.046630951372997,29.719961218666388
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,245180.67690323925,144.68199381859947,151.34565492084266
std,1266013.914341164,744.9728717015356,743.9927958318382
min,4734.132686059009,0.4359171221995344,0.8878095130835838
10%,12587.581434650047,3.521094328812596,6.853351626424198
50%,25435.78109760598,9.863455692152515,16.165122648114732
90%,101989.49519540789,81.54131542449595,91.23505918070654
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,2909922.5162524167,1487.35592493258,1760.4910204383057
std,3183377.8580460693,2010.2312761097924,1843.5926555680048
min,631533.5220125103,122.42816377807323,377.6932687511614
10%,853704.5942676348,197.47756267827435,542.2981635888866
50%,999259.3552256799,270.69917790591694,662.1121145187017
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,722414.9947650161,264.51080923127455,446.78358287536037
std,1286596.3911750684,784.347844610866,754.3890003897216
min,276621.7330254624,46.33694731153955,150.4889924360399
10%,401283.76734008745,86.39427357600931,241.34238551244658
50%,496303.5027901259,123.36815598564932,311.12360523959256
90%,621207.9349601752,184.29587480334405,412.3475282051135
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,188576.02173258743,107.02211663355118,111.69697409236268
std,1158793.4233042437,682.2172208020105,681.544308959755
min,4058.5906648442806,0.7304701229779003,1.095927179499749
10%,10735.991442414675,2.955794627144279,5.868812634314066
50%,17559.13314477388,6.2304375338899565,10.907506375898313
90%,29204.844381549912,12.748540534676946,19.95197379887126
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1093480.9144008183,638.4754018109929,640.7137936208213
std,2745589.5850479975,1616.899724910716,1616.0266695662042
min,3053.115805678187,0.22674829830463228,0.45241170834847433
10%,7845.380925148604,1.4800580885454804,2.683254497914008
50%,13404.01453359085,3.6094218941143383,6.14740149473157
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,118520.62350203702,64.41300717868663,72.24312270663484
std,845718.898918306,498.04862094642306,497.2478965867532
min,7448.539967887248,1.4609699261330393,3.206317860295255
10%,17590.682244209762,5.665005385597865,10.80396322780888
50%,27779.539208695416,10.831263087528946,18.608553439338674
90%,41054.898140790734,18.45293871038014,29.183504164129687
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,302751.12950607645,182.17973208844964,191.9922932610792
std,1371839.709792476,806.6657724633122,805.0257091152207
min,7408.750827732416,1.5591139446411826,3.3655816478276996
10%,19286.67737894575,6.398164763082267,12.161133010866461
50%,57795.529201286074,33.830937732652615,44.85007629879097
90%,123509.34761502186,100.39498114332667,112.54625512220524
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,93883.9799749955,48.197851984943696,59.793012662263145
std,662801.2847954753,390.5254463065821,389.66996754162994
min,9602.910672476866,2.272904920114918,5.341148973240367
10%,22618.38528074612,7.576085762303163,15.143854385834118
50%,34226.71422068318,12.95748542544957,24.268536606596665
90%,60999.66012176462,22.989552909447866,39.78750776589364
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8051342.410007492,4733.619148642754,4736.472196449566
std,583834.9479945884,372.9915657711832,338.7945706346059
min,848968.541879951,179.47323056617844,541.1349922291719
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,3817846.013222441,2032.9733908038597,2289.1748909780054
std,3456146.835077652,2204.6598283192225,1998.8376249848952
min,681862.0152361199,146.2669864437407,431.1054898278501
10%,932288.7449187367,209.25459320893157,592.4671189738516
50%,1121166.4762495016,291.72478562804497,752.9289379110851
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,52348.83412415622,27.73139438975514,37.98400229777871
std,342653.302178734,202.1249069547276,202.01546136534375
min,7852.396080010479,2.355320033239117,4.364034158747414
10%,19354.817044220286,7.3940886238750965,13.644636659224902
50%,30690.15941489113,13.37638058885079,23.073714541209192
90%,70458.35464561437,36.90825813129625,54.17690546106151
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,305908.0623375671,176.71415105131166,182.037455486647
std,1493209.5698198995,878.9767958901488,877.966774116071
min,3876.4883197357963,1.130070130788508,1.8350662659168206
10%,11212.213642810035,3.6143380323668466,6.969110385505965
50%,19197.555924423967,7.794297218541795,13.270990796370196
90%,31814.384628987027,15.25331191809273,23.47232214746535
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,26699.52420470829,11.736908779148516,17.276601904745192
std,198197.60329633066,116.78989296021088,116.76643933986261
min,4831.317180396741,0.7780055539803012,1.7579090162558186
10%,11983.390228661727,3.469111160705028,6.846273844657307
50%,19657.03503739396,7.31587544992351,12.638664780334931
90%,31701.238436665088,14.02844690152696,22.049170236533687
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,749727.4871426591,313.97140661756237,450.90192362883187
std,1611928.781780629,975.8000055690629,946.6478234618787
min,196644.50410214462,31.377686839473817,114.79804544584584
10%,313799.74475608487,63.724305455265835,184.08087185728974
50%,396711.8449243474,96.02837851794649,240.37437670889855
90%,511495.8142085612,156.71539596269832,331.393056106483
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,579779.1414502026,158.72737241799672,369.24509668247816
std,466123.09558971814,283.5853982728923,276.13316548632883
min,270083.36961115804,54.27621202058922,165.71658776152432
10%,447695.9087885987,98.9508219213875,274.1026243867263
50%,547031.2530655408,136.33209262808163,347.92729115044745
90%,661940.9811245988,188.88317117554365,438.1328049459076
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,25985.68765642527,11.495601278773059,14.921682772247046
std,280020.5455082641,164.8866751400007,164.8060792471971
min,3561.5936232244057,0.24773880654283786,0.503049102187451
10%,9180.80728907936,2.2279485899492357,4.26304376069149
50%,14524.533992753306,4.3935820227021996,7.660506518503343
90%,24316.63182290596,10.152381567761909,15.212400800330613
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,189840.67871666607,101.05694463154937,114.20023200044425
std,1062231.8330421725,626.2470730190857,624.590763720992
min,10094.84800993127,2.245459428038375,4.7947825416913
10%,23738.30773662781,7.989624317210087,15.655591869353858
50%,37234.56077195529,13.542620397277112,26.020174320611698
90%,92323.81679501434,26.389050436720673,49.87355004792995
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,864706.9910130089,505.5122610079767,506.77601183974764
std,2484943.320280961,1462.8136716953359,1462.3811970971446
min,2165.9174050026572,0.14128549808626664,0.33274054348835425
10%,6062.1262858559985,0.8406211817877769,1.4642633395011095
50%,10231.407447734362,2.3707015982865745,3.844563334121868
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,4023805.624329941,2167.5558387588976,2413.860610918503
std,3475624.0899859886,2214.6469356336024,2005.5134960110634
min,696403.593110006,140.99905862062795,442.71191926558544
