,B,C,D,E
count,1467.0,1467.0,1467.0,1467.0
mean,261747.84341733335,258124.36878030814,213795.25031555805,7170.713197480801
std,320283.6524657653,166736.3289206549,161236.527577407,3536.438617289312
min,0.0,714.8572660914733,0.0,595.6783635374644
25%,9709.365030396879,132782.33323353063,97754.85695935762,4825.983452614064
50%,127645.10596530697,226721.35651072077,189503.45928710222,6524.650819126686
75%,427320.7648975273,342145.9504388259,287722.4779836499,8654.229849365931
max,2222310.9447506415,1062402.1247527886,1418307.0069459097,31040.714904857236
count,4057.0,4057.0,4057.0,4057.0
mean,174710.03399694632,237393.89079279962,216165.4548777204,6852.989538874536
std,282238.44014145224,179903.8851140945,173615.87582122433,3682.5357396147247
min,0.0,0.0,0.0,0.0
25%,594.2681190909033,99090.21088101168,94953.08344609768,4398.181632634458
50%,30617.43121375869,202022.98150864517,185949.0552589969,6244.953448407042
75%,231795.15212046655,332484.89405489486,292381.3558516657,8541.85924616058
max,1872142.2390955577,1143235.2790840298,1407576.2932395919,33875.97396886811
count,8231.0,8231.0,8231.0,8231.0
mean,73395.44571420949,123595.28866229819,121727.14384343495,6875.277982496367
std,219041.75509287624,133363.4968592205,104503.40858219651,3331.0811659508704
min,0.0,0.0,0.0,772.7492203063298
25%,0.0,21436.123116981675,15383.463262777419,4609.940944918228
50%,0.0,76888.59612533318,114883.16220061228,6204.94373129284
75%,6667.009808053757,181464.49876218993,189990.7870486132,8334.063572114252
max,1983200.6636932334,948491.8943073592,790849.4950526124,33812.25803560441
