cost_mean,cost_std,cost_min,cost_10%,cost_50%,cost_90%,cost_max,time_l_mean,time_l_std,time_l_min,time_l_10%,time_l_50%,time_l_90%,time_l_max,time_u_mean,time_u_std,time_u_min,time_u_10%,time_u_50%,time_u_90%,time_u_max,collapse_freq,irreparable_freq,replacement_freq,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,C_mean,C_std,C_min,C_25%,C_50%,C_75%,C_max,D_mean,D_std,D_min,D_25%,D_50%,D_75%,D_max,E_mean,E_std,E_min,E_25%,E_50%,E_75%,E_max
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0898,0.9102,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40180.56301112588,32397.780611708586,5427.672279637953,14530.24208109067,26007.14858004439,87788.07032509435,254254.05350241705,18.85949528899111,24.21994064761185,1.1809006835751203,4.457659683600095,9.992701183233311,51.90944804021582,295.5040899527483,27.37939953952356,27.0273346397244,1.5289789485465786,8.6905767309429,17.468818520004213,65.0338926738773,304.06965651975537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15773.442690930531,7224.632696563091,1252.603333482489,10310.042187840436,14770.16344072832,19955.13744273629,100915.5066137514,17723.43563196814,31255.98345141194,0.0,0.0,0.0,33428.07812698338,216168.73746896745,6683.684688227208,3087.1596972817683,1084.2981261027455,4555.448738187353,6013.956221268612,8048.126591155631,32830.25411720284
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0031,0.9969,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.4975,0.5025,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27519.658103270536,25899.633743099763,3126.547497878267,10491.173337279011,18436.16105852981,64323.80527386227,196419.15837263933,15.070067623881124,22.37510348550836,0.7956551913023994,3.1196146437536743,7.025956107361459,44.002106284317215,195.89790888089613,20.424623701427397,24.226400359145376,1.3396636860193318,5.931192413881831,11.744945651920926,53.86073606088394,202.44589995718763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11899.701423875818,6496.692706172992,260.8448916718299,7124.254880379215,10630.352478417968,15384.998238201964,145471.08152633053,9740.75122789634,24871.00523411668,0.0,0.0,0.0,0.0,175954.6458609378,5879.205451498383,2831.68203734217,1351.5921859369096,3936.972898339688,5261.479614686441,7075.304979175458,34598.424836156795
451427.9182807249,80833.03703582489,224685.10925948696,354184.85064038634,446704.9824683478,552302.5496830904,1218813.949477559,112.70720554117815,43.13536788468103,39.09402652801513,73.89032865885503,106.2016499350718,154.5577432742012,1947.8674941820136,289.801828233068,67.00744981054694,129.5596477560877,217.53606058705552,281.947777764601,368.7463873275474,2209.7969005127325,0.0,0.0,0.0,16153.739921271912,23137.594157157782,0.0,4464.960773883451,8777.488104357544,18581.85391925084,682961.0989898462,203139.4559161813,53914.82403212972,75006.98669915512,166535.21076095474,194898.31423951185,230357.8176586388,932369.6175879748,224099.04147904075,55553.27408350065,61014.11656537813,184717.2039541457,221558.4927860263,259793.4464965349,552666.7724073613,8035.680964230863,3510.8994659520936,1818.4369567737444,5655.254250408147,7279.296579336471,9521.886886085556,44280.60447937973
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0032,0.9968,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0788,0.9212,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410159.7020222489,76389.58206156494,198540.12275611216,320303.6247309216,403604.6476809883,507446.92606662126,1394571.1551531274,103.8974322682592,37.67994942181307,37.05369907467865,67.03924495473315,98.01648661312448,145.49607137918895,807.895814306504,264.1811735866131,59.85057188419181,117.86978156667192,197.5678470783696,257.7626910924349,336.42413645060026,1009.4329183346345,0.0,0.0,0.0,9300.937630829843,16154.613393698826,0.0,1830.832767625388,4649.893153283625,9998.487160601682,608181.938970276,187557.0606156746,51227.95535644079,75993.0184493907,153520.03685080374,180375.79118180933,211825.4402224639,1175323.427826152,205999.70345665523,54203.9872696325,58085.63000432947,167730.01696654485,202789.50746105856,240290.90434051177,512366.2623116309,7302.000319089237,3278.397448032171,1657.7979226360594,5079.479521990735,6605.361739519563,8726.380959871409,43412.91993294543
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.3727,0.6273,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8022237.754003761,632814.2011138496,2197931.286963159,8100000.0,8100000.0,8100000.0,8100000.0,4704.366684585272,490.7649138562005,490.38701087747006,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4721.2483639027,353.8683589849298,1442.4377263137808,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0003,0.9848,0.9851,2049988.369315847,190113.89770925295,1437738.525063148,1917308.6954085208,2038486.274636637,2167744.903062432,2577226.482692595,524467.2730681014,66441.43741601093,379372.74335042265,490595.66427546233,518208.6449822268,562633.3188369266,1031527.022904061,298714.30673525867,68028.036893156,161943.25036496637,250983.8208593972,288231.8171620484,335037.5862743091,560259.1306339587,7887.366569512208,3436.133377956911,2979.3664056831817,5536.806945492333,7037.906079504031,9248.422691594562,22078.511018789548
2119170.9278012947,2141726.342416034,827676.3768340142,1176832.9357852913,1375845.9087299935,8100000.0,8100000.0,872.221976194814,1392.4030953189283,192.07606610540887,295.6605468071795,378.7850169902955,4764.705882352941,4764.705882352941,1305.1261597349276,1240.4542649962775,534.7404053348305,735.5199954541074,874.8279831545517,4764.705882352941,4764.705882352941,0.0,0.1132,0.1132,668563.925633961,123988.94437138551,239593.5732839649,582504.9011486392,663323.1671734625,747983.3472535266,1676262.311743584,418852.7297672386,62629.45504198429,212338.99266311532,380150.9120683378,417955.4098378385,455200.3056424397,1228226.4472008664,260399.8289055006,59024.10854533906,97658.79722777643,218730.28771416296,257087.1133709367,297649.1623420371,615535.7224978661,7901.747314065344,3507.055697481088,1592.1574359349013,5485.324929501155,7183.4121453624175,9474.150025332565,45506.73438927953
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.965,0.035,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150075.2846948313,50353.47045604826,28168.218029992186,89235.51425574563,146532.87994014716,215008.46739885295,1142339.7530259704,66.4718008877524,32.86451353156155,8.18925690212427,27.045286354923324,61.48010791975597,111.37418222585052,384.9439693546176,108.28466996758613,37.25532108333762,22.17545426521093,62.536436511819176,104.86610764189976,157.4694299381105,497.2901652830311,0.0,0.0,0.0,0.4370997630993659,31.531232945104303,0.0,0.0,0.0,0.0,2627.252541392941,52535.10993116085,17740.30066347608,16624.478823328784,42699.05698885617,50414.12641113997,59580.65725455717,959483.779913096,90554.2864095224,46852.18756260948,0.0,55006.06918529346,87805.52850086133,121265.19789832592,294080.63780333544,6985.451254384889,3227.9364949073647,1583.4848026670695,4775.542416157481,6303.389005756777,8350.644722672774,47754.3977359602
90612.08270615828,42093.78753421075,21667.164862533355,44437.97422361733,83871.65284521374,150086.26474464443,361928.1344748045,43.92724620505388,31.494024171621177,5.347816648811377,15.271977517123409,30.85887277455837,91.66245928574097,231.9699120621173,70.51226805715038,36.96785186217629,14.609528186029562,32.422678309456884,59.36278881183612,125.58178347124044,264.0063498451833,0.0,0.0,0.0,0.4370898537935266,31.53013051362781,0.0,0.0,0.0,0.0,2627.0546436373734,45556.4637487143,12597.723883736193,14035.383046219667,37279.41344348146,44224.82268723342,52030.50618671184,292048.7227300119,37071.868515539936,39714.870584231205,0.0,0.0,31332.085509928096,63499.07292663878,217887.9995768733,7983.313352050269,3553.8268308805887,1887.4423413241348,5579.039743929171,7211.955296681672,9479.80473728266,42824.36927628523
1183971.6454569877,864557.3719500664,601700.4795698079,908662.1784850308,1074206.8997275948,1267711.9993651486,8100000.0,364.0736756340229,547.1975898852268,134.49011294315358,223.1441384566321,289.8728793332573,386.8922375003888,4764.705882352941,786.6959166629298,503.4500582108837,381.7306610213321,595.9280879895906,718.5096588959136,876.9256806541264,4764.705882352941,0.0,0.015,0.015,339762.6894552959,98378.33052707717,63070.03493564306,271583.29261011,334310.5929158173,398767.6088064396,1765009.3796852122,406292.06839911744,70921.64473867194,193650.6724062086,359484.62834005686,402848.0858068838,447452.5285389931,1452552.6247751638,325482.2209021446,67673.42480649319,140584.6366311662,279747.8773783563,320248.6059800916,365890.4847476452,871365.2942344884,7114.437951043625,3258.718277463194,1595.3565169211258,4848.822419922474,6435.092478075684,8534.97625626559,34193.31351636158
