S1,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed
1.021104444,3.330817955,0.149402038,0.029800633,26.62907237,0.631314739,0.573861024,RSN294_ITALY_A-TRC000,18.11250365,0.070898215,0.070898215,71.8984954,71.8984954,W30X90,W21X50,W14X283,15.58791687,0.861923969,1.776007556,3.832976957,0.57494375,0.266399839,0.603246671,1.319153383,0.633354797,0.305441276,0.296909726,15.9409,0.004971154,0.006625,0.007344231,1.072104037,0.550041408,0.435432195,0.542008282,36.9917,35.0573,38.3283,43.2882,0,0,0,0,0,0,0,0,1,8.26E-05,0.000155788,0.000501468,0,1,1,0,0
1.029922353,2.758190231,0.111117955,0.025768391,32.03739424,1.265556319,1.741350329,RSN3947_TOTTORI_SMNH01NS,5.154133836,0.153073523,0.153073523,48.05609135,48.05609135,W24X68,W18X40,W14X159,28.52987435,1.209230217,2.333338876,3.133650299,0.441394246,0.328665376,0.608456102,1.017005442,0.425489613,0.307074405,0.325113302,19.8061,0.011532692,0.013923077,0.011372628,1.968630952,0.466547619,0.41192029,0.481671843,75.8807,79.6598,83.3632,85.0308,0,0,0,0,0,0,1,1,1,0.001091199,0.000562058,0.000437122,0,0,0,0,0
1.252042166,2.542428793,0.152960955,0.062113565,20.01153593,1.464210694,1.544488181,RSN1005_NORTHR_TEM090,8.626973831,0.114600733,0.114600733,42.02422546,42.02422546,W24X76,W21X50,W14X176,33.57118622,1.116844583,1.368514466,2.930395011,0.914891437,0.427260544,0.739679738,0.934124413,1.013110511,0.302844114,0.393075207,10.0962,0.007784744,0.010585577,0.010239103,1.984451346,0.399756729,0.390986025,0.539868012,53.3742,52.1464,55.9037,60.1997,0,0,0,0,0,0,1,1,1,0.000295577,0.000158974,0.000737244,0,0,0,0,0
1.216157586,3.230350469,0.18072257,0.071155196,20.3786123,1.622712376,0.588194282,RSN15_KERN_TAF021,7.767333762,0.075337004,0.075337004,71.32514305,71.32514305,W30X99,W21X55,W14X311,43.26559269,0.814907798,0.480774551,3.817663388,2.529579784,0.318560717,0.718479895,1.374677487,2.914475962,0.219142346,0.310227841,12.8232,0.004150897,0.005871731,0.008455321,1.991433747,0.459759317,0.488804348,0.722101449,53.1816,52.2451,50.4983,55.9155,0,0,0,0,0,0,0,0,1,0.000198971,0.000183535,0.000302822,0,0,0,0,0
1.113695642,3.487902305,0.113394801,0.026668925,28.02585085,0.718972702,0.781064659,RSN3979_SANSIMEO_37737090,9.682579683,0.059878022,0.059878022,72.86721221,72.86721221,W27X84,W21X44,W14X233,22.04115506,0.968019684,1.782175725,3.858712168,0.624907873,0.28861848,0.65794757,1.487330414,0.436103202,0.32820126,0.314759607,22.8196,0.012128846,0.011769872,0.015469872,1.76948499,0.941837474,0.705201863,0.772119565,79.7375,78.9292,80.9096,82.4581,0,0,0,0,0,0,1,1,1,0.004759968,0.004097051,0.005063141,0,1,1,0,0
0.89978251,3.43869022,0.125991067,0.013560863,35.75983154,0.589392667,1.372485799,RSN1541_CHICHI_TCU116-E,2.089896002,0.077348158,0.077348158,75.09564623,75.09564623,W24X55,W21X44,W14X120,13.9666086,1.387456257,2.454800171,3.917271626,0.366540022,0.229696226,0.531572266,1.244924716,0.444386781,0.276269115,0.313551106,15.0016,0.042239679,0.039896154,0.026185897,2.503706004,0.83188147,0.463180642,0.671620083,34.6547,37.0039,41.9954,49.5784,0,0,0,1,1,1,1,1,1,0.029855192,0.022293314,0.004795667,1,1,1,0,0
1.248153602,3.913784451,0.124024857,0.017028961,36.54508461,0.801425378,0.527083707,RSN1005_NORTHR_TEM090,8.600180372,0.075344718,0.075344718,95.01721997,95.01721997,W30X99,W21X50,W14X311,30.1226266,0.820290187,2.404126669,4.406334543,0.519171314,0.283263468,0.737382458,0.931223231,0.365333874,0.282377031,0.352487265,18.3786,0.002453205,0.003465385,0.003408333,0.523530021,0.144951605,0.179383023,0.252557971,45.6292,47.7653,50.6937,52.8687,0,0,0,0,0,0,0,0,0,1.38E-05,3.52E-05,0.000148692,0,0,0,0,0
1.168590566,2.585147261,0.16336451,0.064373519,32.4456385,1.714379217,1.020774139,RSN779_LOMAP_LGP000,0.948397678,0.157747301,0.157747301,45.42389389,45.42389389,W27X84,W21X44,W14X211,36.46598217,0.993684608,1.981006839,3.046621395,0.58989729,0.383569343,0.690378317,0.992901239,0.612545945,0.44257933,0.41483105,14.7355,0.010139744,0.011787821,0.008599359,1.00701087,0.349164079,0.392766563,0.52320911,56.1213,54.3572,50.8062,49.2939,0,0,0,0,0,0,1,1,1,0.002019679,0.001751353,0.000968436,0,0,0,0,0
1.234579744,3.648595413,0.195848756,0.060775838,31.42402208,1.644869777,0.83071319,RSN4040_BAM_BAM-L,1.403554503,0.075023659,0.075023659,94.27206625,94.27206625,W24X84,W21X44,W14X211,48.75097142,1.040305791,1.104287866,4.389022632,1.11798724,0.281288079,0.729363313,1.486685632,1.509154323,0.145673501,0.225150779,29.293,0.005814744,0.007955128,0.007939103,1.500745342,0.342399068,0.347016046,0.454686853,79.8515,76.817,73.7736,71.3002,0,0,0,0,0,0,0,1,1,0.000228571,0.000232628,6.53E-05,0,0,0,0,0
1.187321813,3.098076684,0.174632767,0.050573715,34.86866028,0.906717307,1.363737865,RSN82_SFERN_PHN180,15.29491754,0.109159055,0.109159055,66.25045452,66.25045452,W24X68,W21X44,W14X159,22.9261392,1.194308156,1.955503213,3.679346917,0.607169451,0.322699066,0.701444337,0.886387427,0.780986983,0.591020556,0.626263145,24.1946,0.119361795,0.085414744,0.031400641,3.469901656,0.95130176,0.687849379,0.680900621,58.6692,59.5557,62.9952,65.209,1,1,0,1,1,1,1,1,1,0.11565916,0.080409615,0.026453205,1,1,1,0,0
